"Year","NSW","VIC","QLD","SA","WA","TAS","NT","ACT","AUS","Registered Vehicles"
"2011","181107","160634","156825","47753","99392","15052","5861","12166","678790","Motorcycles"
"2011","4778421","4198371","3401932","1261925","1912739","419009","137082","258904","16368383","Total"
"2012","188469","164778","164752","48709","107195","16446","6103","12836","709288","Motorcycles"
"2012","4869996","4286284","3492311","1275041","1977756","431991","141101","267164","16741644","Total"
"2013","199847","169406","173775","50678","113852","17457","6640","13077","744732","Motorcycles"
"2013","4984557","4383634","3606121","1298404","2048388","436999","148569","273924","17180596","Total"
"2014","211040","174336","181683","52090","122995","18058","6932","13040","780174","Motorcycles"
"2014","5102352","4483098","3705400","1326232","2142307","442575","152177","279352","17633493","Total"
"2015","222111","178905","187167","53010","127145","18640","7144","13093","807215","Motorcycles"
"2015","5247199","4567314","3771321","1347514","2185409","450403","155035","283572","18007767","Total"
"2016","229296","185248","192942","53724","128619","19093","6941","13102","828965","Motorcycles"
"2016","5374419","4681337","3854205","1364700","2208812","457629","157717","288317","18387136","Total"
"2017","237996","189217","200260","54389","127859","19780","6616","13179","849296","Motorcycles"
"2017","5509181","4798097","3948169","1386004","2219291","469467","155362","295633","18781204","Total"
"2018","244236","192128","204434","54325","125647","20248","6571","13111","860700","Motorcycles"
"2018","5618385","4923032","4045335","1408960","2231564","480935","162500","302568","19173279","Total"
"2019","248430","195780","207587","55223","123487","20430","6096","13072","870105","Motorcycles"
"2019","5702200","5030906","4134382","1428928","2244971","493358","161635","308861","19505241","Total"
"2020","254722","198151","210033","55320","123245","20719","5759","12932","880881","Motorcycles"
"2020","5779039","5119560","4205100","1444960","2278759","506391","160474","311048","19805331","Total"
"2021","269518","203317","218920","57524","123917","21372","5878","13357","913803","Motorcycles"
"2021","5892206","5157172","4303713","1477899","2314712","516451","162641","318148","20142942","Total"
