"Calendar year","ABS remoteness area","Age group","Sex","Road user","Hospitalisations"
2011,"Major Cities","0-7","Female","Car",78
2011,"Major Cities","0-7","Female","Heavy transport vehicle",1
2011,"Major Cities","0-7","Female","Motorcyclist",4
2011,"Major Cities","0-7","Female","Other",39
2011,"Major Cities","0-7","Female","Pedal cyclist",37
2011,"Major Cities","0-7","Male","Car",73
2011,"Major Cities","0-7","Male","Motorcyclist",6
2011,"Major Cities","0-7","Male","Other",77
2011,"Major Cities","0-7","Male","Pedal cyclist",87
2011,"Major Cities","17-25","Female","Car",1271
2011,"Major Cities","17-25","Female","Heavy transport vehicle",2
2011,"Major Cities","17-25","Female","Motorcyclist",105
2011,"Major Cities","17-25","Female","Other",161
2011,"Major Cities","17-25","Female","Pedal cyclist",81
2011,"Major Cities","17-25","Male","Car",1464
2011,"Major Cities","17-25","Male","Heavy transport vehicle",24
2011,"Major Cities","17-25","Male","Motorcyclist",1078
2011,"Major Cities","17-25","Male","Other",279
2011,"Major Cities","17-25","Male","Pedal cyclist",396
2011,"Major Cities","26-39","Female","Car",1224
2011,"Major Cities","26-39","Female","Heavy transport vehicle",3
2011,"Major Cities","26-39","Female","Motorcyclist",127
2011,"Major Cities","26-39","Female","Other",130
2011,"Major Cities","26-39","Female","Pedal cyclist",224
2011,"Major Cities","26-39","Male","Car",1288
2011,"Major Cities","26-39","Male","Heavy transport vehicle",67
2011,"Major Cities","26-39","Male","Motorcyclist",1284
2011,"Major Cities","26-39","Male","Other",276
2011,"Major Cities","26-39","Male","Pedal cyclist",842
2011,"Major Cities","40-64","Female","Car",1636
2011,"Major Cities","40-64","Female","Heavy transport vehicle",10
2011,"Major Cities","40-64","Female","Motorcyclist",172
2011,"Major Cities","40-64","Female","Other",231
2011,"Major Cities","40-64","Female","Pedal cyclist",345
2011,"Major Cities","40-64","Male","Car",1380
2011,"Major Cities","40-64","Male","Heavy transport vehicle",134
2011,"Major Cities","40-64","Male","Motorcyclist",1428
2011,"Major Cities","40-64","Male","Other",295
2011,"Major Cities","40-64","Male","Pedal cyclist",1247
2011,"Major Cities","65-74","Female","Car",422
2011,"Major Cities","65-74","Female","Heavy transport vehicle",2
2011,"Major Cities","65-74","Female","Motorcyclist",8
2011,"Major Cities","65-74","Female","Other",131
2011,"Major Cities","65-74","Female","Pedal cyclist",33
2011,"Major Cities","65-74","Male","Car",338
2011,"Major Cities","65-74","Male","Heavy transport vehicle",8
2011,"Major Cities","65-74","Male","Motorcyclist",80
2011,"Major Cities","65-74","Male","Other",83
2011,"Major Cities","65-74","Male","Pedal cyclist",133
2011,"Major Cities","75+","Female","Car",479
2011,"Major Cities","75+","Female","Motorcyclist",7
2011,"Major Cities","75+","Female","Other",199
2011,"Major Cities","75+","Female","Pedal cyclist",9
2011,"Major Cities","75+","Male","Car",404
2011,"Major Cities","75+","Male","Heavy transport vehicle",1
2011,"Major Cities","75+","Male","Motorcyclist",24
2011,"Major Cities","75+","Male","Other",138
2011,"Major Cities","75+","Male","Pedal cyclist",53
2011,"Major Cities","8-16","Female","Car",211
2011,"Major Cities","8-16","Female","Motorcyclist",16
2011,"Major Cities","8-16","Female","Other",115
2011,"Major Cities","8-16","Female","Pedal cyclist",101
2011,"Major Cities","8-16","Male","Car",172
2011,"Major Cities","8-16","Male","Heavy transport vehicle",2
2011,"Major Cities","8-16","Male","Motorcyclist",157
2011,"Major Cities","8-16","Male","Other",170
2011,"Major Cities","8-16","Male","Pedal cyclist",431
2011,"Regional","0-7","Female","Car",56
2011,"Regional","0-7","Female","Motorcyclist",2
2011,"Regional","0-7","Female","Other",17
2011,"Regional","0-7","Female","Pedal cyclist",19
2011,"Regional","0-7","Male","Car",69
2011,"Regional","0-7","Male","Motorcyclist",13
2011,"Regional","0-7","Male","Other",34
2011,"Regional","0-7","Male","Pedal cyclist",46
2011,"Regional","17-25","Female","Car",684
2011,"Regional","17-25","Female","Motorcyclist",41
2011,"Regional","17-25","Female","Other",44
2011,"Regional","17-25","Female","Pedal cyclist",21
2011,"Regional","17-25","Male","Car",851
2011,"Regional","17-25","Male","Heavy transport vehicle",18
2011,"Regional","17-25","Male","Motorcyclist",681
2011,"Regional","17-25","Male","Other",91
2011,"Regional","17-25","Male","Pedal cyclist",137
2011,"Regional","26-39","Female","Car",487
2011,"Regional","26-39","Female","Heavy transport vehicle",3
2011,"Regional","26-39","Female","Motorcyclist",58
2011,"Regional","26-39","Female","Other",29
2011,"Regional","26-39","Female","Pedal cyclist",36
2011,"Regional","26-39","Male","Car",639
2011,"Regional","26-39","Male","Heavy transport vehicle",67
2011,"Regional","26-39","Male","Motorcyclist",602
2011,"Regional","26-39","Male","Other",67
2011,"Regional","26-39","Male","Pedal cyclist",163
2011,"Regional","40-64","Female","Car",763
2011,"Regional","40-64","Female","Heavy transport vehicle",6
2011,"Regional","40-64","Female","Motorcyclist",110
2011,"Regional","40-64","Female","Other",71
2011,"Regional","40-64","Female","Pedal cyclist",102
2011,"Regional","40-64","Male","Car",740
2011,"Regional","40-64","Male","Heavy transport vehicle",170
2011,"Regional","40-64","Male","Motorcyclist",836
2011,"Regional","40-64","Male","Other",119
2011,"Regional","40-64","Male","Pedal cyclist",283
2011,"Regional","65-74","Female","Car",213
2011,"Regional","65-74","Female","Heavy transport vehicle",2
2011,"Regional","65-74","Female","Motorcyclist",8
2011,"Regional","65-74","Female","Other",22
2011,"Regional","65-74","Female","Pedal cyclist",16
2011,"Regional","65-74","Male","Car",179
2011,"Regional","65-74","Male","Heavy transport vehicle",13
2011,"Regional","65-74","Male","Motorcyclist",56
2011,"Regional","65-74","Male","Other",26
2011,"Regional","65-74","Male","Pedal cyclist",55
2011,"Regional","75+","Female","Car",221
2011,"Regional","75+","Female","Motorcyclist",1
2011,"Regional","75+","Female","Other",55
2011,"Regional","75+","Male","Car",187
2011,"Regional","75+","Male","Motorcyclist",10
2011,"Regional","75+","Male","Other",26
2011,"Regional","75+","Male","Pedal cyclist",24
2011,"Regional","8-16","Female","Car",166
2011,"Regional","8-16","Female","Motorcyclist",22
2011,"Regional","8-16","Female","Other",44
2011,"Regional","8-16","Female","Pedal cyclist",59
2011,"Regional","8-16","Male","Car",132
2011,"Regional","8-16","Male","Heavy transport vehicle",1
2011,"Regional","8-16","Male","Motorcyclist",233
2011,"Regional","8-16","Male","Other",58
2011,"Regional","8-16","Male","Pedal cyclist",247
2011,"Remote","0-7","Female","Car",8
2011,"Remote","0-7","Female","Other",2
2011,"Remote","0-7","Female","Pedal cyclist",8
2011,"Remote","0-7","Male","Car",8
2011,"Remote","0-7","Male","Motorcyclist",2
2011,"Remote","0-7","Male","Other",5
2011,"Remote","0-7","Male","Pedal cyclist",5
2011,"Remote","17-25","Female","Car",64
2011,"Remote","17-25","Female","Motorcyclist",10
2011,"Remote","17-25","Female","Other",8
2011,"Remote","17-25","Female","Pedal cyclist",1
2011,"Remote","17-25","Male","Car",122
2011,"Remote","17-25","Male","Heavy transport vehicle",1
2011,"Remote","17-25","Male","Motorcyclist",95
2011,"Remote","17-25","Male","Other",17
2011,"Remote","17-25","Male","Pedal cyclist",11
2011,"Remote","26-39","Female","Car",52
2011,"Remote","26-39","Female","Heavy transport vehicle",2
2011,"Remote","26-39","Female","Motorcyclist",10
2011,"Remote","26-39","Female","Other",10
2011,"Remote","26-39","Female","Pedal cyclist",3
2011,"Remote","26-39","Male","Car",87
2011,"Remote","26-39","Male","Heavy transport vehicle",3
2011,"Remote","26-39","Male","Motorcyclist",67
2011,"Remote","26-39","Male","Other",18
2011,"Remote","26-39","Male","Pedal cyclist",18
2011,"Remote","40-64","Female","Car",52
2011,"Remote","40-64","Female","Motorcyclist",10
2011,"Remote","40-64","Female","Other",15
2011,"Remote","40-64","Female","Pedal cyclist",5
2011,"Remote","40-64","Male","Car",81
2011,"Remote","40-64","Male","Heavy transport vehicle",13
