"Year","State","mHospitalisations","tHospitalisations"
"2011","ACT",144,521
"2011","NSW",2393,10618
"2011","NT",106,452
"2011","Qld",1781,6322
"2011","SA",460,2323
"2011","Tas",129,472
"2011","Vic",1622,9326
"2011","WA",867,3442
"2012","ACT",144,592
"2012","NSW",2626,11121
"2012","NT",118,481
"2012","Qld",1776,6813
"2012","SA",451,2291
"2012","Tas",124,518
"2012","Vic",1505,8098
"2012","WA",909,3493
"2013","ACT",137,561
"2013","NSW",2570,11421
"2013","NT",121,535
"2013","Qld",2047,7821
"2013","SA",455,2221
"2013","Tas",149,560
"2013","Vic",1521,7784
"2013","WA",958,3475
"2014","ACT",102,533
"2014","NSW",2636,11313
"2014","NT",150,562
"2014","Qld",2070,7725
"2014","SA",557,2364
"2014","Tas",204,630
"2014","Vic",1654,8523
"2014","WA",865,3154
"2015","ACT",145,687
"2015","NSW",2459,11084
"2015","NT",169,675
"2015","Qld",2144,8306
"2015","SA",549,2447
"2015","Tas",197,667
"2015","Vic",1694,9198
"2015","WA",842,3163
"2016","ACT",147,645
"2016","NSW",2648,11474
"2016","NT",151,682
"2016","Qld",2159,8702
"2016","SA",546,2654
"2016","Tas",171,646
"2016","Vic",1806,10360
"2016","WA",802,3031
"2017","ACT",119,614
"2017","NSW",2526,11016
"2017","NT",149,684
"2017","Qld",2208,9134
"2017","SA",531,2394
"2017","Tas",169,633
"2017","Vic",1979,10794
"2017","WA",931,3195
"2018","ACT",161,698
"2018","NSW",2347,9794
"2018","NT",169,815
"2018","Qld",2320,9381
"2018","SA",559,2481
"2018","Tas",171,771
"2018","Vic",1944,11453
"2018","WA",788,3274
"2019","ACT",136,655
"2019","NSW",2565,9942
"2019","NT",153,646
"2019","Qld",2322,9515
"2019","SA",562,2420
"2019","Tas",148,686
"2019","Vic",1939,11392
"2019","WA",886,3534
"2020","ACT",142,621
"2020","NSW",2335,9274
"2020","NT",195,773
"2020","Qld",2447,9801
"2020","SA",583,2503
"2020","Tas",192,758
"2020","Vic",1682,9884
"2020","WA",949,3636
"2021","ACT",144,733
"2021","NSW",2253,9003
"2021","NT",157,691
"2021","Qld",2598,10447
"2021","SA",556,2632
"2021","Tas",198,782
"2021","Vic",1967,11130
"2021","WA",882,3568
